2026-05-19 15:30:34 | INFO | Found 14 book file(s) in C:\Users\Krish\Downloads\llm_continued_pretraining\books_articles
2026-05-19 15:30:53 | DEBUG | Page 251: quality=0.00, falling back to OCR
2026-05-19 15:30:54 | WARNING | OCR failed on page 251: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:54 | DEBUG | Page 269: quality=0.00, falling back to OCR
2026-05-19 15:30:55 | WARNING | OCR failed on page 269: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:55 | DEBUG | Page 295: quality=0.00, falling back to OCR
2026-05-19 15:30:55 | WARNING | OCR failed on page 295: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:55 | DEBUG | Page 307: quality=0.00, falling back to OCR
2026-05-19 15:30:56 | WARNING | OCR failed on page 307: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:56 | DEBUG | Page 319: quality=0.00, falling back to OCR
2026-05-19 15:30:57 | WARNING | OCR failed on page 319: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:57 | DEBUG | Page 347: quality=0.00, falling back to OCR
2026-05-19 15:30:57 | WARNING | OCR failed on page 347: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:57 | DEBUG | Page 389: quality=0.00, falling back to OCR
2026-05-19 15:30:58 | WARNING | OCR failed on page 389: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:58 | DEBUG | Page 409: quality=0.00, falling back to OCR
2026-05-19 15:30:59 | WARNING | OCR failed on page 409: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:59 | DEBUG | Page 439: quality=0.00, falling back to OCR
2026-05-19 15:31:00 | WARNING | OCR failed on page 439: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:00 | DEBUG | Page 451: quality=0.00, falling back to OCR
2026-05-19 15:31:00 | WARNING | OCR failed on page 451: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:00 | DEBUG | Page 473: quality=0.00, falling back to OCR
2026-05-19 15:31:01 | WARNING | OCR failed on page 473: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:01 | DEBUG | Page 495: quality=0.00, falling back to OCR
2026-05-19 15:31:02 | WARNING | OCR failed on page 495: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:02 | DEBUG | Page 523: quality=0.00, falling back to OCR
2026-05-19 15:31:02 | WARNING | OCR failed on page 523: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:02 | DEBUG | Page 583: quality=0.00, falling back to OCR
2026-05-19 15:31:03 | WARNING | OCR failed on page 583: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:03 | DEBUG | Page 607: quality=0.00, falling back to OCR
2026-05-19 15:31:04 | WARNING | OCR failed on page 607: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:04 | DEBUG | Page 627: quality=0.00, falling back to OCR
2026-05-19 15:31:04 | WARNING | OCR failed on page 627: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:04 | DEBUG | Page 639: quality=0.00, falling back to OCR
2026-05-19 15:31:05 | WARNING | OCR failed on page 639: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:05 | DEBUG | Page 641: quality=0.00, falling back to OCR
2026-05-19 15:31:06 | WARNING | OCR failed on page 641: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:06 | DEBUG | Page 665: quality=0.00, falling back to OCR
2026-05-19 15:31:06 | WARNING | OCR failed on page 665: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:07 | DEBUG | Page 705: quality=0.00, falling back to OCR
2026-05-19 15:31:07 | WARNING | OCR failed on page 705: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:07 | DEBUG | Page 715: quality=0.00, falling back to OCR
2026-05-19 15:31:08 | WARNING | OCR failed on page 715: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:08 | DEBUG | Page 735: quality=0.00, falling back to OCR
2026-05-19 15:31:09 | WARNING | OCR failed on page 735: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:09 | DEBUG | Page 737: quality=0.00, falling back to OCR
2026-05-19 15:31:09 | WARNING | OCR failed on page 737: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:09 | DEBUG | Page 767: quality=0.00, falling back to OCR
2026-05-19 15:31:10 | WARNING | OCR failed on page 767: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:10 | DEBUG | Page 791: quality=0.00, falling back to OCR
2026-05-19 15:31:11 | WARNING | OCR failed on page 791: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:11 | DEBUG | Page 793: quality=0.00, falling back to OCR
2026-05-19 15:31:11 | WARNING | OCR failed on page 793: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:12 | DEBUG | Page 813: quality=0.00, falling back to OCR
2026-05-19 15:31:12 | WARNING | OCR failed on page 813: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:12 | DEBUG | Page 845: quality=0.00, falling back to OCR
2026-05-19 15:31:13 | WARNING | OCR failed on page 845: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:13 | DEBUG | Page 846 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 847 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 848 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 849 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 850 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 851 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 852 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 853 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 854 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 855 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 856 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 857 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 858 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 859 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 860 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 861 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 862 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 863 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 864 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 865 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 866 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 867 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 868 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Page 869 appears to be an index page – skipping
2026-05-19 15:31:13 | DEBUG | Removing 112 repeated header/footer lines
2026-05-19 15:31:13 | INFO |   Saved: 0-Handbook_of_Venous_and_Lymphatic_Disorders_Guidelines_of_the_American_Venous_F.txt | pages=869 | ocr_pages=0 | words=470,772 | chapters=28
2026-05-19 15:31:13 | INFO | Extracting: 0-Saphenous-Vein-Sparing-Strategies-in-Chronic-Venous-Disease.pdf
2026-05-19 15:31:13 | DEBUG | Page 2: quality=1.00, falling back to OCR
2026-05-19 15:31:14 | WARNING | OCR failed on page 2: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:14 | DEBUG | Page 11: quality=1.00, falling back to OCR
2026-05-19 15:31:14 | WARNING | OCR failed on page 11: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:14 | DEBUG | Page 126: quality=1.00, falling back to OCR
2026-05-19 15:31:15 | WARNING | OCR failed on page 126: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:15 | DEBUG | Page 240 appears to be an index page – skipping
2026-05-19 15:31:15 | DEBUG | Page 255: quality=1.00, falling back to OCR
2026-05-19 15:31:15 | WARNING | OCR failed on page 255: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:16 | DEBUG | Removing 56 repeated header/footer lines
2026-05-19 15:31:16 | INFO |   Saved: 0-Saphenous-Vein-Sparing-Strategies-in-Chronic-Venous-Disease.txt | pages=291 | ocr_pages=0 | words=119,780 | chapters=11
2026-05-19 15:31:16 | INFO | Extracting: 1-Atlas of Endovascular Venous Surgery by José Almeida (z-lib.org).pdf
2026-05-19 15:31:16 | DEBUG | Page 1: quality=0.00, falling back to OCR
2026-05-19 15:31:16 | WARNING | OCR failed on page 1: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:16 | DEBUG | Page 4: quality=1.00, falling back to OCR
2026-05-19 15:31:16 | WARNING | OCR failed on page 4: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:16 | DEBUG | Page 8: quality=1.00, falling back to OCR
2026-05-19 15:31:17 | WARNING | OCR failed on page 8: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:17 | DEBUG | Page 18: quality=1.00, falling back to OCR
2026-05-19 15:31:18 | WARNING | OCR failed on page 18: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:18 | DEBUG | Page 70 appears to be an index page – skipping
2026-05-19 15:31:18 | DEBUG | Page 88: quality=1.00, falling back to OCR
2026-05-19 15:31:18 | WARNING | OCR failed on page 88: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:18 | DEBUG | Page 106 appears to be an index page – skipping
2026-05-19 15:31:18 | DEBUG | Page 127: quality=0.97, falling back to OCR
2026-05-19 15:31:19 | WARNING | OCR failed on page 127: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:19 | DEBUG | Page 186 appears to be an index page – skipping
2026-05-19 15:31:20 | DEBUG | Page 238: quality=0.00, falling back to OCR
2026-05-19 15:31:20 | WARNING | OCR failed on page 238: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:20 | DEBUG | Page 350: quality=1.00, falling back to OCR
2026-05-19 15:31:21 | WARNING | OCR failed on page 350: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:21 | DEBUG | Page 376: quality=1.00, falling back to OCR
2026-05-19 15:31:22 | WARNING | OCR failed on page 376: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:22 | DEBUG | Page 428: quality=1.00, falling back to OCR
2026-05-19 15:31:22 | WARNING | OCR failed on page 428: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:22 | DEBUG | Page 460: quality=1.00, falling back to OCR
2026-05-19 15:31:23 | WARNING | OCR failed on page 460: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:23 | DEBUG | Page 474: quality=1.00, falling back to OCR
2026-05-19 15:31:24 | WARNING | OCR failed on page 474: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:24 | DEBUG | Page 504: quality=1.00, falling back to OCR
2026-05-19 15:31:24 | WARNING | OCR failed on page 504: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:24 | DEBUG | Page 505 appears to be an index page – skipping
2026-05-19 15:31:24 | DEBUG | Page 506 appears to be an index page – skipping
2026-05-19 15:31:24 | DEBUG | Page 507 appears to be an index page – skipping
2026-05-19 15:31:24 | DEBUG | Page 508 appears to be an index page – skipping
2026-05-19 15:31:24 | DEBUG | Page 509 appears to be an index page – skipping
2026-05-19 15:31:24 | DEBUG | Page 510 appears to be an index page – skipping
2026-05-19 15:31:24 | DEBUG | Page 511: quality=1.00, falling back to OCR
2026-05-19 15:31:25 | WARNING | OCR failed on page 511: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:25 | DEBUG | Page 512: quality=1.00, falling back to OCR
2026-05-19 15:31:26 | WARNING | OCR failed on page 512: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:26 | DEBUG | Page 513: quality=1.00, falling back to OCR
2026-05-19 15:31:26 | WARNING | OCR failed on page 513: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:26 | DEBUG | Page 514: quality=1.00, falling back to OCR
2026-05-19 15:31:27 | WARNING | OCR failed on page 514: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:27 | DEBUG | Removing 55 repeated header/footer lines
2026-05-19 15:31:27 | INFO |   Saved: 1-Atlas_of_Endovascular_Venous_Surgery_by_José_Almeida_z-liborg.txt | pages=514 | ocr_pages=0 | words=102,192 | chapters=6
2026-05-19 15:31:27 | INFO | Extracting: 2019 book Principles of Venous Hemodynamics Franceschi Zambo.pdf
2026-05-19 15:31:27 | DEBUG | Page 2: quality=1.00, falling back to OCR
2026-05-19 15:31:28 | WARNING | OCR failed on page 2: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:28 | DEBUG | Page 3: quality=0.00, falling back to OCR
2026-05-19 15:31:28 | WARNING | OCR failed on page 3: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:28 | DEBUG | Page 9: quality=0.00, falling back to OCR
2026-05-19 15:31:29 | WARNING | OCR failed on page 9: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:29 | DEBUG | Page 31: quality=0.00, falling back to OCR
2026-05-19 15:31:30 | WARNING | OCR failed on page 31: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:30 | DEBUG | Page 99: quality=0.00, falling back to OCR
2026-05-19 15:31:31 | WARNING | OCR failed on page 99: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:31 | DEBUG | Page 109: quality=0.00, falling back to OCR
2026-05-19 15:31:31 | WARNING | OCR failed on page 109: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:31 | DEBUG | Page 111: quality=1.00, falling back to OCR
2026-05-19 15:31:32 | WARNING | OCR failed on page 111: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:32 | DEBUG | Page 113: quality=1.00, falling back to OCR
2026-05-19 15:31:33 | WARNING | OCR failed on page 113: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:33 | DEBUG | Page 118: quality=1.00, falling back to OCR
2026-05-19 15:31:34 | WARNING | OCR failed on page 118: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:34 | DEBUG | Page 124: quality=1.00, falling back to OCR
2026-05-19 15:31:34 | WARNING | OCR failed on page 124: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:34 | DEBUG | Page 128: quality=1.00, falling back to OCR
2026-05-19 15:31:35 | WARNING | OCR failed on page 128: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:35 | DEBUG | Page 133: quality=0.00, falling back to OCR
2026-05-19 15:31:36 | WARNING | OCR failed on page 133: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:36 | DEBUG | Page 157: quality=0.00, falling back to OCR
2026-05-19 15:31:36 | WARNING | OCR failed on page 157: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:37 | DEBUG | Page 170 appears to be an index page – skipping
2026-05-19 15:31:37 | DEBUG | Removing 20 repeated header/footer lines
2026-05-19 15:31:37 | INFO |   Saved: 2019_book_Principles_of_Venous_Hemodynamics_Franceschi_Zambo.txt | pages=198 | ocr_pages=0 | words=50,618 | chapters=60
2026-05-19 15:31:37 | INFO | Extracting: 2025-02-19-Theraclion-investor-presentation-extended-V33.2_compressed-2.pdf
2026-05-19 15:31:37 | DEBUG | Page 3: quality=1.00, falling back to OCR
2026-05-19 15:31:37 | WARNING | OCR failed on page 3: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:38 | DEBUG | Page 8: quality=1.00, falling back to OCR
2026-05-19 15:31:38 | WARNING | OCR failed on page 8: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:38 | DEBUG | Page 19: quality=1.00, falling back to OCR
2026-05-19 15:31:39 | WARNING | OCR failed on page 19: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:39 | DEBUG | Page 27: quality=1.00, falling back to OCR
2026-05-19 15:31:40 | WARNING | OCR failed on page 27: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:40 | DEBUG | Page 34: quality=1.00, falling back to OCR
2026-05-19 15:31:41 | WARNING | OCR failed on page 34: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:41 | DEBUG | Removing 20 repeated header/footer lines
2026-05-19 15:31:41 | INFO |   Saved: 2025-02-19-Theraclion-investor-presentation-extended-V332_compressed-2.txt | pages=48 | ocr_pages=0 | words=4,895 | chapters=3
2026-05-19 15:31:41 | INFO | Extracting: adler-et-al-2022-varicose-veins-of-the-lower-extremity-doppler-us-evaluation-protocols-patterns-and-pitfalls.pdf
2026-05-19 15:31:41 | DEBUG | Removing 2 repeated header/footer lines
2026-05-19 15:31:41 | INFO |   Saved: adler-et-al-2022-varicose-veins-of-the-lower-extremity-doppler-us-evaluation-pro.txt | pages=17 | ocr_pages=0 | words=8,855 | chapters=0
2026-05-19 15:31:41 | INFO | Extracting: Atlas of Endovascular Venous Surgery by Almeida, Jose (z-lib.org).pdf
2026-05-19 15:31:41 | DEBUG | Page 1: quality=1.00, falling back to OCR
2026-05-19 15:31:42 | WARNING | OCR failed on page 1: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:42 | DEBUG | Page 5: quality=0.00, falling back to OCR
2026-05-19 15:31:42 | WARNING | OCR failed on page 5: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:42 | DEBUG | Page 9: quality=0.00, falling back to OCR
2026-05-19 15:31:43 | WARNING | OCR failed on page 9: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:43 | DEBUG | Page 11: quality=0.00, falling back to OCR
2026-05-19 15:31:44 | WARNING | OCR failed on page 11: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:44 | DEBUG | Page 13: quality=0.00, falling back to OCR
2026-05-19 15:31:44 | WARNING | OCR failed on page 13: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:31:44 | DEBUG | Page 53 appears to be an index page – skipping
2026-05-19 15:31:44 | DEBUG | Page 54 appears to be an index page – skipping
2026-05-19 15:31:44 | DEBUG | Page 61 appears to be an index page – skipping
2026-05-19 15:31:44 | DEBUG | Page 95 appears to be an index page – skipping
2026-05-19 15:31:45 | DEBUG | Page 157 appears to be an index page – skipping
2026-05-19 15:31:45 | DEBUG | Page 191 appears to be an index page – skipping
2026-05-19 15:31:45 | DEBUG | Page 270 appears to be an index page – skipping
2026-05-19 15:31:45 | DEBUG | Page 276 appears to be an index page – skipping
2026-05-19 15:31:45 | DEBUG | Page 280 appears to be an index page – skipping
2026-05-19 15:31:45 | DEBUG | Page 329 appears to be an index page – skipping
2026-05-19 15:31:45 | DEBUG | Page 362 appears to be an index page – skipping
2026-05-19 15:31:45 | DEBUG | Page 408 appears to be an index page – skipping
2026-05-19 15:31:45 | DEBUG | Page 421 appears to be an index page – skipping
2026-05-19 15:31:45 | DEBUG | Page 434 appears to be an index page – skipping
2026-05-19 15:31:45 | DEBUG | Page 454 appears to be an index page – skipping
2026-05-19 15:31:45 | DEBUG | Page 466 appears to be an index page – skipping
2026-05-19 15:31:45 | DEBUG | Page 488 appears to be an index page – skipping
2026-05-19 15:31:45 | DEBUG | Page 493 appears to be an index page – skipping
2026-05-19 15:31:45 | DEBUG | Page 494 appears to be an index page – skipping
2026-05-19 15:31:45 | DEBUG | Page 496 appears to be an index page – skipping
2026-05-19 15:31:45 | DEBUG | Page 499 appears to be an index page – skipping
