frame_idx,track_id,cx,cy,x,y,w,h,area,age,label,video,raw_frame_idx
34,23,168.56,26.44,146,14,48,28,866,3,N2,202207111318_38-Perf,408
35,14,142.15,32.62,132,26,22,14,278,7,N3,202207111318_38-Perf,420
35,20,102.03,47.82,92,40,22,15,261,7,N2,202207111318_38-Perf,420
35,26,207.04,24.8,192,17,31,17,455,1,N3,202207111318_38-Perf,420
36,14,122.17,25.54,99,14,48,25,844,8,unknown,202207111318_38-Perf,432
36,27,87.2,55.3,74,46,28,19,398,1,unknown,202207111318_38-Perf,432
37,14,132.66,25.28,110,14,46,25,876,9,N2,202207111318_38-Perf,444
37,27,97.53,52.26,86,43,26,19,406,2,N3,202207111318_38-Perf,444
38,14,134.23,24.02,120,14,28,22,533,10,N3,202207111318_38-Perf,456
38,27,89.17,46.74,66,39,43,19,654,3,N2,202207111318_38-Perf,456
39,14,137.51,23.85,126,15,24,19,393,11,N1,202207111318_38-Perf,468
39,20,98.69,47.45,88,39,24,17,342,8,N3,202207111318_38-Perf,468
39,28,67.81,42.51,56,36,25,14,308,1,N2,202207111318_38-Perf,468
40,14,137.51,23.85,126,15,24,19,393,12,unknown,202207111318_38-Perf,480
40,20,98.6,47.46,88,39,22,18,340,9,unknown,202207111318_38-Perf,480
40,28,67.91,42.4,56,36,25,14,307,2,unknown,202207111318_38-Perf,480
0,0,137.31,144.25,122,130,32,30,683,1,N1,202207191643_00-Moving,0
1,0,134.43,134.12,118,114,32,38,931,2,N1,202207191643_00-Moving,12
2,1,112.79,119.23,92,103,42,32,1072,1,N1,202207191643_00-Moving,24
3,2,91.45,106.46,74,90,35,32,979,1,N1,202207191643_00-Moving,36
4,2,96.6,102.76,81,87,33,32,909,2,N1,202207191643_00-Moving,48
5,2,89.95,95.56,74,80,34,32,906,3,N1,202207191643_00-Moving,60
6,2,82.85,94.34,68,78,31,32,849,4,N3,202207191643_00-Moving,72
7,2,96.65,92.59,82,77,32,31,866,5,N3,202207191643_00-Moving,84
8,2,103.19,88.79,88,74,31,30,824,6,N3,202207191643_00-Moving,96
9,2,83.2,84.07,67,70,33,30,793,7,N1,202207191643_00-Moving,108
10,2,81.46,81.99,65,68,34,29,820,8,N1,202207191643_00-Moving,120
11,2,98.79,78.69,82,65,34,29,844,9,N1,202207191643_00-Moving,132
12,3,105.33,69.39,87,55,37,29,896,1,N2,202207191643_00-Moving,144
13,3,97.03,68.56,78,55,37,29,865,2,N2,202207191643_00-Moving,156
14,3,100.16,67.23,80,53,39,28,895,3,N1,202207191643_00-Moving,168
15,3,115.65,61.82,99,48,35,29,861,4,N3,202207191643_00-Moving,180
16,3,117.58,57.14,102,43,33,29,869,5,N2,202207191643_00-Moving,192
17,3,118.17,57.48,102,43,33,29,810,6,N1,202207191643_00-Moving,204
18,3,118.56,55.91,102,43,33,27,775,7,N3,202207191643_00-Moving,216
19,3,108.34,54.89,87,43,43,27,999,8,N3,202207191643_00-Moving,228
20,4,86.56,55.42,68,42,41,28,958,1,N3,202207191643_00-Moving,240
21,4,76.74,57.67,59,43,35,31,873,2,N1,202207191643_00-Moving,252
22,4,89.68,55.04,64,36,51,40,1639,3,N3,202207191643_00-Moving,264
23,4,85.06,55.45,64,40,44,32,1220,4,N3,202207191643_00-Moving,276
24,4,79.37,54.45,59,39,41,33,1183,5,N1,202207191643_00-Moving,288
25,4,64.15,59.52,48,44,34,31,907,6,N1,202207191643_00-Moving,300
26,4,75.52,57.08,54,43,46,28,1031,7,N3,202207191643_00-Moving,312
27,5,104.76,57.23,90,44,30,28,747,1,N3,202207191643_00-Moving,324
28,5,110.55,58.81,93,44,35,31,886,2,N3,202207191643_00-Moving,336
29,4,90.07,63.03,72,49,36,28,828,8,N3,202207191643_00-Moving,348
30,4,72.93,65.67,55,52,35,28,810,9,N3,202207191643_00-Moving,360
31,5,92.76,69.63,72,55,44,29,1023,3,N3,202207191643_00-Moving,372
32,5,102.37,76.47,86,62,34,30,876,4,unknown,202207191643_00-Moving,384
33,5,116.2,77.33,100,62,34,32,876,5,N3,202207191643_00-Moving,396
34,6,116.19,77.63,100,64,35,29,844,1,N1,202207191643_00-Moving,408
35,6,115.2,80.88,97,66,37,31,961,2,N1,202207191643_00-Moving,420
36,6,116.61,83.05,100,68,34,32,866,3,N2,202207191643_00-Moving,432
37,6,127.49,82.92,111,68,33,31,816,4,N3,202207191643_00-Moving,444
38,6,138.67,81.44,124,66,32,31,859,5,N3,202207191643_00-Moving,456
39,7,149.54,84.98,134,71,34,29,813,1,N1,202207191643_00-Moving,468
40,6,130.42,82.94,114,68,34,31,891,6,N2,202207191643_00-Moving,480
41,8,91.96,84.23,74,70,36,29,954,1,N3,202207191643_00-Moving,492
42,8,80.06,88.6,64,74,34,30,893,2,N3,202207191643_00-Moving,504
43,9,102.82,93.9,86,78,34,32,922,1,N2,202207191643_00-Moving,516
44,9,90.86,95.8,75,78,33,34,883,2,N1,202207191643_00-Moving,528
45,10,59.33,94.68,44,80,31,30,782,1,N3,202207191643_00-Moving,540
46,11,33.07,79.71,20,66,28,30,705,1,N3,202207191643_00-Moving,552
47,11,20.37,69.26,5,56,35,28,827,2,N3,202207191643_00-Moving,564
48,12,49.05,66.29,31,53,37,28,859,1,N3,202207191643_00-Moving,576
49,12,65.41,57.19,49,43,33,29,807,2,N3,202207191643_00-Moving,588
50,11,32.55,54.25,8,42,50,26,1153,3,N3,202207191643_00-Moving,600
51,11,15.36,57.94,5,40,25,32,496,4,N3,202207191643_00-Moving,612
52,11,11.24,53.95,2,39,20,31,494,5,N3,202207191643_00-Moving,624
53,11,21.02,46.39,4,32,35,32,954,6,N3,202207191643_00-Moving,636
54,11,25.18,45.92,5,32,40,30,1019,7,N3,202207191643_00-Moving,648
55,11,41.18,51.38,20,36,45,32,1186,8,N1,202207191643_00-Moving,660
55,13,160.05,38.76,150,33,20,13,213,1,N2,202207191643_00-Moving,660
56,13,166.54,40.97,158,34,18,14,214,2,N3,202207191643_00-Moving,672
56,14,68.07,50.38,42,34,54,32,1433,1,N2,202207191643_00-Moving,672
57,14,73.91,51.81,49,36,51,32,1378,2,N3,202207191643_00-Moving,684
58,14,57.88,55.88,39,42,38,29,945,3,N3,202207191643_00-Moving,696
59,14,87.06,53.3,59,40,54,28,1282,4,N3,202207191643_00-Moving,708
60,14,112.22,56.02,94,43,37,27,816,5,N3,202207191643_00-Moving,720
61,15,58.92,50.93,40,39,39,25,869,1,N3,202207191643_00-Moving,732
62,15,61.45,52.56,39,37,48,33,1282,2,N3,202207191643_00-Moving,744
63,15,73.08,51.41,52,34,44,36,1245,3,N3,202207191643_00-Moving,756
64,15,71.41,43.89,54,30,36,30,909,4,N3,202207191643_00-Moving,768
65,15,74.56,38.92,58,26,34,28,803,5,unknown,202207191643_00-Moving,780
66,14,83.98,36.09,66,22,36,28,837,6,N3,202207191643_00-Moving,792
67,14,88.53,34.79,72,21,34,29,878,7,N3,202207191643_00-Moving,804
68,14,90.0,34.85,74,22,34,27,798,8,N3,202207191643_00-Moving,816
69,14,92.25,34.56,76,22,33,26,728,9,N3,202207191643_00-Moving,828
70,14,88.12,33.34,72,21,32,27,763,10,N3,202207191643_00-Moving,840
71,14,86.54,34.58,70,21,33,28,782,11,N3,202207191643_00-Moving,852
72,14,91.45,36.15,76,22,32,28,762,12,N3,202207191643_00-Moving,864
73,14,97.98,36.45,80,24,36,26,758,13,N3,202207191643_00-Moving,876
74,14,102.13,37.66,86,26,34,24,731,14,N2,202207191643_00-Moving,888
75,14,102.63,38.86,86,27,34,25,760,15,N3,202207191643_00-Moving,900
76,14,101.25,36.83,84,26,36,23,732,16,N3,202207191643_00-Moving,912
77,14,103.55,36.78,88,24,32,26,735,17,N3,202207191643_00-Moving,924
78,14,116.73,34.94,100,22,35,26,773,18,N3,202207191643_00-Moving,936
79,14,115.57,34.97,99,22,35,26,780,19,N3,202207191643_00-Moving,948
80,14,120.11,42.16,102,30,38,26,837,20,N2,202207191643_00-Moving,960
81,16,135.8,51.81,115,39,44,27,998,1,N2,202207191643_00-Moving,972
82,16,155.14,51.84,134,40,42,25,921,2,N3,202207191643_00-Moving,984
83,16,159.68,54.78,144,43,32,25,718,3,N3,202207191643_00-Moving,996
84,16,139.98,55.9,124,43,34,28,852,4,N2,202207191643_00-Moving,1008
85,17,113.43,61.68,96,49,36,26,800,1,N2,202207191643_00-Moving,1020
86,17,125.8,63.85,108,50,38,28,806,2,N1,202207191643_00-Moving,1032
87,17,121.74,69.02,104,55,36,29,882,3,N2,202207191643_00-Moving,1044
88,17,121.63,72.41,106,59,34,28,823,4,N3,202207191643_00-Moving,1056
89,17,122.9,77.16,106,64,35,28,819,5,N3,202207191643_00-Moving,1068
90,17,125.23,77.81,109,64,35,29,844,6,N3,202207191643_00-Moving,1080
91,17,121.7,83.59,106,70,32,29,793,7,N3,202207191643_00-Moving,1092
92,17,116.27,85.36,100,70,34,32,892,8,N3,202207191643_00-Moving,1104
93,17,108.1,88.92,92,74,33,30,840,9,N2,202207191643_00-Moving,1116
94,17,106.87,91.82,90,75,35,33,1000,10,N2,202207191643_00-Moving,1128
95,17,116.07,97.57,100,82,32,31,854,11,N1,202207191643_00-Moving,1140
96,18,108.63,103.8,94,88,31,34,861,1,N1,202207191643_00-Moving,1152
97,18,89.96,113.1,71,94,39,37,1215,2,N1,202207191643_00-Moving,1164
98,18,98.9,115.87,78,94,42,43,1469,3,N1,202207191643_00-Moving,1176
99,18,97.04,117.17,80,97,36,40,1184,4,N1,202207191643_00-Moving,1188
100,19,74.19,109.14,58,93,32,32,828,1,N1,202207191643_00-Moving,1200
101,20,81.07,84.42,65,69,34,30,861,1,N3,202207191643_00-Moving,1212
102,20,80.75,84.42,66,71,30,28,742,2,N1,202207191643_00-Moving,1224
103,20,85.13,80.31,70,66,32,30,789,3,N3,202207191643_00-Moving,1236
104,20,67.86,73.43,53,60,31,28,776,4,N1,202207191643_00-Moving,1248
105,20,78.33,65.66,60,52,37,28,837,5,N3,202207191643_00-Moving,1260
106,21,103.92,61.65,84,49,40,26,901,1,N2,202207191643_00-Moving,1272
107,21,117.42,55.59,100,43,35,27,787,2,N2,202207191643_00-Moving,1284
108,22,81.66,53.04,64,40,35,26,784,1,N3,202207191643_00-Moving,1296
109,22,82.8,54.59,60,39,46,32,1293,2,N3,202207191643_00-Moving,1308
110,22,80.07,51.15,60,36,40,32,1083,3,N3,202207191643_00-Moving,1320
111,22,78.99,41.53,60,27,39,29,940,4,N3,202207191643_00-Moving,1332
112,22,100.38,34.87,82,22,37,27,894,5,N3,202207191643_00-Moving,1344
113,23,108.45,33.82,92,21,34,27,811,1,N3,202207191643_00-Moving,1356
114,23,118.13,33.62,102,21,33,27,742,2,N3,202207191643_00-Moving,1368
115,23,119.52,33.41,103,21,33,27,759,3,N3,202207191643_00-Moving,1380
116,23,121.75,34.75,106,22,32,26,704,4,N3,202207191643_00-Moving,1392
117,23,121.69,36.24,104,26,36,22,719,5,N3,202207191643_00-Moving,1404
118,23,121.36,37.42,103,26,37,24,766,6,N3,202207191643_00-Moving,1416
119,23,123.41,39.34,106,27,35,26,809,7,N3,202207191643_00-Moving,1428
120,23,128.42,39.71,112,28,35,25,772,8,N2,202207191643_00-Moving,1440
121,23,132.61,40.57,115,28,36,26,753,9,N2,202207191643_00-Moving,1452
0,0,158.79,29.93,149,24,19,14,204,1,N3,Knee-Ankle-Seg1,0
1,0,153.92,30.28,145,24,18,14,191,2,N3,Knee-Ankle-Seg1,12
2,0,156.19,29.27,146,24,20,14,202,3,unknown,Knee-Ankle-Seg1,24
3,0,160.3,29.22,150,23,20,13,208,4,N3,Knee-Ankle-Seg1,36
4,0,166.33,29.3,156,24,23,13,206,5,unknown,Knee-Ankle-Seg1,48
5,1,182.31,30.28,164,24,41,14,457,1,N3,Knee-Ankle-Seg1,60
6,1,181.43,31.23,166,24,35,16,331,2,N3,Knee-Ankle-Seg1,72
7,1,191.23,30.26,180,23,24,15,305,3,unknown,Knee-Ankle-Seg1,84
8,1,199.52,30.63,186,23,28,16,356,4,unknown,Knee-Ankle-Seg1,96
9,1,207.54,30.91,195,24,27,16,330,5,unknown,Knee-Ankle-Seg1,108
10,2,211.37,30.4,199,24,25,14,305,1,unknown,Knee-Ankle-Seg1,120
11,2,220.3,30.78,210,24,22,15,283,2,unknown,Knee-Ankle-Seg1,132
12,2,220.68,30.63,210,24,23,14,263,3,N3,Knee-Ankle-Seg1,144
13,2,212.05,28.99,202,21,22,17,297,4,N3,Knee-Ankle-Seg1,156
14,1,198.44,27.44,187,20,24,16,287,6,N3,Knee-Ankle-Seg1,168
15,1,193.59,26.13,181,18,25,16,317,7,N3,Knee-Ankle-Seg1,180
16,1,191.84,26.29,179,19,27,15,304,8,unknown,Knee-Ankle-Seg1,192
17,1,187.55,26.11,174,18,28,16,309,9,unknown,Knee-Ankle-Seg1,204
18,1,190.8,26.59,177,19,28,16,355,10,N3,Knee-Ankle-Seg1,216
19,2,198.95,30.49,186,24,26,14,333,5,N3,Knee-Ankle-Seg1,228
20,2,193.23,31.08,180,25,28,13,292,6,unknown,Knee-Ankle-Seg1,240
28,3,88.4,29.23,80,24,19,12,110,1,N3,Knee-Ankle-Seg1,336
37,4,107.93,30.43,101,25,14,11,74,1,N3,Knee-Ankle-Seg1,444
38,4,111.57,33.3,106,27,12,11,76,2,N3,Knee-Ankle-Seg1,456
62,5,215.29,27.35,210,24,15,9,68,1,N3,Knee-Ankle-Seg1,744
62,6,220.23,34.27,211,30,17,8,78,1,N2,Knee-Ankle-Seg1,744
64,7,197.83,32.79,192,25,16,15,87,1,N3,Knee-Ankle-Seg1,768
65,7,197.54,32.56,189,26,19,14,205,2,N3,Knee-Ankle-Seg1,780
66,7,200.21,33.63,191,28,20,12,208,3,unknown,Knee-Ankle-Seg1,792
67,7,199.38,36.91,192,34,14,6,58,4,N3,Knee-Ankle-Seg1,804
68,8,190.87,34.92,184,28,15,14,180,1,N3,Knee-Ankle-Seg1,816
69,8,187.06,34.81,178,28,19,14,185,2,unknown,Knee-Ankle-Seg1,828
70,8,193.5,34.39,185,28,17,14,207,3,N3,Knee-Ankle-Seg1,840
0,0,109.84,86.51,76,69,61,39,1669,1,N3,sample_data,0
1,0,125.85,88.54,106,71,41,37,1233,2,N1,sample_data,12
1,1,77.17,86.06,71,80,13,13,158,1,N2,sample_data,12
2,0,105.26,85.47,86,68,39,35,1185,3,N1,sample_data,24
3,0,94.99,81.52,76,65,40,34,1148,4,N1,sample_data,36
3,2,30.26,87.6,24,81,13,15,161,1,N3,sample_data,36
4,0,90.13,73.84,71,58,39,34,1170,5,N2,sample_data,48
4,2,23.51,92.06,15,86,17,13,189,2,N3,sample_data,48
5,0,90.09,67.72,70,50,40,37,1196,6,N1,sample_data,60
5,3,28.52,101.66,22,94,15,15,185,1,N3,sample_data,60
6,0,101.32,63.72,82,46,38,36,1138,7,unknown,sample_data,72
6,4,44.25,106.05,38,100,14,13,149,1,unknown,sample_data,72
7,0,108.27,60.64,88,43,42,37,1271,8,N3,sample_data,84
7,4,47.61,107.83,40,100,16,16,222,2,N2,sample_data,84
8,5,129.55,58.04,112,40,36,35,1118,1,N1,sample_data,96
9,6,205.53,52.75,182,36,50,34,1389,1,N3,sample_data,108
10,6,218.77,51.28,198,36,46,32,1191,2,N3,sample_data,120
11,6,205.53,54.46,186,37,40,35,1183,3,unknown,sample_data,132
11,7,110.24,103.14,105,97,11,13,118,1,unknown,sample_data,132
12,6,208.41,57.03,190,40,38,35,1166,4,N1,sample_data,144
12,8,123.77,103.79,118,97,14,15,170,1,N2,sample_data,144
13,6,217.75,58.63,198,42,41,35,1269,5,unknown,sample_data,156
13,9,135.62,100.38,130,92,12,17,188,1,unknown,sample_data,156
14,6,221.15,59.37,201,42,42,36,1238,6,unknown,sample_data,168
14,9,137.39,100.2,132,93,12,15,152,2,unknown,sample_data,168
15,6,225.74,63.52,204,46,44,36,1359,7,unknown,sample_data,180
15,10,147.08,99.01,141,93,13,13,155,1,unknown,sample_data,180
16,6,225.77,68.96,205,52,43,36,1318,8,N1,sample_data,192
16,10,150.5,96.43,144,90,13,13,139,2,N2,sample_data,192
17,6,218.99,68.07,200,52,40,34,1177,9,unknown,sample_data,204
17,9,139.97,98.13,134,93,12,11,119,3,unknown,sample_data,204
18,6,210.04,60.22,190,44,42,34,1231,10,N3,sample_data,216
18,8,124.42,103.48,118,97,14,13,157,2,N2,sample_data,216
19,6,204.31,58.04,182,42,45,33,1251,11,unknown,sample_data,228
19,11,113.5,108.0,108,102,12,13,148,1,unknown,sample_data,228
20,6,199.18,55.33,179,39,41,33,1181,12,N1,sample_data,240
20,12,102.43,107.65,96,100,14,15,183,1,N2,sample_data,240
21,6,198.2,53.53,176,37,44,34,1195,13,N3,sample_data,252
21,12,100.99,105.01,94,99,15,13,172,2,N2,sample_data,252
22,6,187.15,58.61,166,42,42,35,1245,14,unknown,sample_data,264
22,12,101.48,102.1,96,96,12,13,143,3,unknown,sample_data,264
23,13,168.82,65.67,147,49,43,35,1219,1,N1,sample_data,276
23,14,90.61,97.43,84,92,13,12,127,1,N2,sample_data,276
24,13,164.7,71.38,147,55,37,35,1172,2,N1,sample_data,288
24,14,91.43,93.68,84,86,15,16,201,2,N3,sample_data,288
25,13,157.63,78.09,138,62,41,34,1221,3,N2,sample_data,300
25,14,88.96,92.19,82,86,14,13,161,3,N3,sample_data,300
26,13,151.98,85.09,134,68,38,36,1181,4,N1,sample_data,312
26,14,89.66,88.51,82,82,15,14,181,4,N3,sample_data,312
27,13,144.45,89.34,126,71,38,38,1255,5,N1,sample_data,324
27,14,91.16,87.42,84,80,15,16,214,5,N3,sample_data,324
28,13,144.03,94.67,126,77,38,36,1189,6,N1,sample_data,336
28,15,98.19,89.64,90,83,16,14,168,1,N3,sample_data,336
29,16,122.07,92.79,88,74,62,41,1850,1,N2,sample_data,348
30,16,115.08,91.27,93,71,44,42,1499,2,N2,sample_data,360
31,16,116.82,90.78,96,71,41,41,1415,3,N1,sample_data,372
32,16,120.48,89.61,96,71,48,40,1619,4,N1,sample_data,384
33,13,158.16,94.73,138,77,41,36,1238,7,N2,sample_data,396
34,17,201.74,78.53,184,62,38,34,1098,1,N1,sample_data,408
34,18,135.9,93.99,130,88,14,14,141,1,N3,sample_data,408
35,17,190.58,68.63,169,52,43,35,1224,2,N1,sample_data,420
36,17,187.52,61.06,168,44,41,36,1273,3,N3,sample_data,432
36,19,102.11,102.07,96,94,14,16,193,1,N1,sample_data,432
37,17,181.38,58.95,160,42,42,36,1289,4,N1,sample_data,444
37,20,89.02,108.53,82,102,15,14,190,1,N2,sample_data,444
38,17,180.77,56.26,161,39,40,35,1160,5,N3,sample_data,456
38,20,81.84,106.04,75,100,15,13,163,2,N2,sample_data,456
39,17,180.07,53.89,158,37,44,35,1263,6,N3,sample_data,468
39,20,76.03,104.65,68,97,16,15,204,3,N1,sample_data,468
40,17,197.53,54.26,179,37,39,34,1140,7,N3,sample_data,480
40,21,90.29,108.88,82,103,17,13,181,1,N2,sample_data,480
41,21,86.05,115.33,79,110,15,12,155,2,N3,sample_data,492
41,22,211.08,53.1,191,34,41,38,1298,1,N2,sample_data,492
42,22,222.58,56.28,201,39,44,36,1332,2,N3,sample_data,504
43,22,221.81,58.02,201,40,43,38,1336,3,N3,sample_data,516
43,23,66.78,113.52,60,108,14,12,148,1,N2,sample_data,516
44,22,214.5,66.72,184,40,64,56,2823,4,N1,sample_data,528
45,22,196.38,76.33,158,48,75,60,3533,5,N1,sample_data,540
46,22,203.7,73.9,172,50,63,49,2471,6,N3,sample_data,552
47,22,200.78,67.94,176,46,52,44,1916,7,N1,sample_data,564
48,22,192.64,66.02,168,44,50,46,1868,8,N1,sample_data,576
49,22,172.92,66.22,148,44,49,46,1867,9,N2,sample_data,588
50,24,149.63,58.73,126,39,48,41,1635,1,N2,sample_data,600
51,24,129.01,51.49,106,33,47,39,1557,2,N2,sample_data,612
52,24,110.44,46.29,88,28,46,37,1404,3,N3,sample_data,624
53,24,101.37,40.91,80,24,45,36,1403,4,N3,sample_data,636
54,24,101.48,35.36,78,20,48,33,1377,5,unknown,sample_data,648
55,24,113.24,33.93,88,17,52,35,1572,6,N3,sample_data,660
56,24,120.41,34.28,95,17,51,36,1557,7,N3,sample_data,672
57,24,124.31,34.4,100,18,48,35,1435,8,N3,sample_data,684
58,24,131.88,37.78,109,20,47,36,1423,9,unknown,sample_data,696
59,24,141.78,38.71,119,20,47,38,1459,10,N3,sample_data,708
60,25,161.0,47.12,141,28,41,38,1350,1,N3,sample_data,720
63,26,144.3,90.05,115,66,60,50,2675,1,N3,sample_data,756
64,27,89.36,91.62,62,74,57,36,1756,1,N3,sample_data,768
65,28,102.99,62.78,68,49,69,29,1654,1,N3,sample_data,780
66,29,26.59,33.53,5,20,45,28,1108,1,N3,sample_data,792
67,30,50.66,46.13,24,28,51,37,1466,1,N3,sample_data,804
70,31,184.81,93.31,162,74,45,41,1413,1,N3,sample_data,840
71,31,187.83,81.1,166,66,46,31,1186,2,N2,sample_data,852
72,32,155.51,67.12,135,51,41,34,1191,1,N2,sample_data,864
73,32,136.29,64.82,116,48,40,36,1189,2,N1,sample_data,876
73,33,63.44,102.87,56,97,16,12,156,1,N2,sample_data,876
74,32,131.13,71.39,111,55,41,35,1147,3,unknown,sample_data,888
74,34,62.26,90.28,56,81,14,18,193,1,unknown,sample_data,888
75,32,129.4,82.04,110,65,42,37,1310,4,unknown,sample_data,900
75,34,65.81,87.11,59,80,14,16,179,2,unknown,sample_data,900
76,32,134.25,88.59,114,70,42,40,1328,5,N2,sample_data,912
76,35,80.54,86.79,75,80,12,14,153,1,N3,sample_data,912
77,36,138.39,94.38,120,75,38,40,1326,1,N1,sample_data,924
77,37,95.88,89.24,88,82,16,15,209,1,N2,sample_data,924
78,36,124.92,90.37,94,72,58,41,1824,2,N3,sample_data,936
79,36,126.04,89.52,103,70,45,42,1513,3,N1,sample_data,948
